IRTT,"	ORTT","	T1","		G","		HNG","		phiL","	phiR","	UX1	","	UY1","		UX2	","	UY2","		UX3	","	UY3	","	UX4	","	UY4	","	UX5","		UY5","		UX6","		UY6	","	MaxVM", Error
0.003,0.027,0.57,0.03,0.03,0.2,0.2,-0.48499,-0.029995,-0.177167,-0.029892,-0.141521,-0.026313,0.160176,0.034791,0.177658,0.034788,0.479334,-0.026418,82508352,0.291143
0.014,0.026,0.25,0.03,0.03,0.2,0.2,-0.481836,-0.028197,-0.175828,0.005172,-0.145652,0.008654,0.159914,0.045865,0.178899,0.044818,0.478521,-0.025761,35924908,0.477189
0.007,0.012,0.36,0.03,0.03,0.2,0.2,-0.484772,-0.029885,-0.176958,-0.027541,-0.141632,-0.023932,0.160297,0.036017,0.177786,0.035949,0.479239,-0.026344,909490304,0.303597
0.005,0.015,0.09,0.03,0.03,0.2,0.2,-0.480695,-0.027429,-0.176312,0.018462,-0.148703,0.021598,0.158219,0.045132,0.178729,0.043581,0.47862,-0.025844,81972072,0.536122
0.014,0.026,0.21,0.03,0.03,0.2,0.2,-0.481424,-0.027927,-0.175939,0.009934,-0.146641,0.013314,0.159441,0.046003,0.178895,0.044787,0.478523,-0.025764,31662902,0.499561
0.013,0.026,0.17,0.03,0.03,0.2,0.2,-0.481015,-0.027651,-0.17612,0.014699,-0.147745,0.017952,0.158823,0.045712,0.178829,0.044315,0.478561,-0.025795,26452740,0.520815
0.003,0.016,0.66,0.03,0.03,0.2,0.2,-0.489706,-0.031922,-0.185418,-0.078438,-0.144691,-0.076905,0.155237,-0.007636,0.175843,-0.006056,0.482824,-0.028809,482977408,0.073529
0.006,0.027,0.18,0.03,0.03,0.2,0.2,-0.481042,-0.027669,-0.176106,0.014387,-0.14767,0.01765,0.158868,0.045746,0.178836,0.044361,0.478558,-0.025792,20084120,0.519253
0.003,0.019,0.17,0.03,0.03,0.2,0.2,-0.481563,-0.028019,-0.175893,0.008325,-0.146295,0.011742,0.159616,0.046002,0.178903,0.044844,0.478519,-0.02576,52788372,0.491857
0.007,0.013,0.1,0.03,0.03,0.2,0.2,-0.480942,-0.027601,-0.17616,0.015559,-0.147957,0.018787,0.158694,0.045609,0.17881,0.044177,0.478572,-0.025804,152808320,0.524587
0.003,0.011,0.12,0.03,0.03,0.2,0.2,-0.481367,-0.027889,-0.175959,0.010593,-0.146787,0.013956,0.159364,0.04599,0.17889,0.04475,0.478527,-0.025766,224112992,0.502712
0.003,0.023,0.01,0.03,0.03,0.2,0.2,-0.479444,-0.026503,-0.177517,0.033458,-0.153423,0.035919,0.154391,0.03824,0.177784,0.035937,0.47924,-0.026345,3378395.75,0.573947
0.008,0.017,0.03,0.03,0.03,0.2,0.2,-0.479737,-0.026728,-0.177169,0.029907,-0.152149,0.032565,0.155564,0.040775,0.178102,0.038678,0.479017,-0.026167,28811980,0.570053
0.004,0.025,0.05,0.03,0.03,0.2,0.2,-0.479833,-0.026801,-0.177063,0.028738,-0.151755,0.031455,0.155905,0.041453,0.178192,0.039419,0.478957,-0.026119,10219399,0.567818
0.006,0.017,0.09,0.03,0.03,0.2,0.2,-0.480592,-0.027355,-0.176385,0.019686,-0.149031,0.02278,0.157998,0.044868,0.178686,0.043264,0.478646,-0.025865,57154740,0.540853
0.009,0.024,0.55,0.03,0.03,0.2,0.2,-0.485553,-0.03027,-0.177782,-0.035915,-0.141344,-0.032436,0.159799,0.031346,0.177321,0.03151,0.479604,-0.026627,64369356,0.259256
0.006,0.024,0.12,0.03,0.03,0.2,0.2,-0.480597,-0.027359,-0.176381,0.019625,-0.149015,0.022721,0.158009,0.044882,0.178688,0.043281,0.478645,-0.025864,22101060,0.54034
0.002,0.01,0.31,0.03,0.03,0.2,0.2,-0.482871,-0.028837,-0.175853,-0.006586,-0.143664,-0.002944,0.160563,0.043969,0.178691,0.043302,0.478643,-0.025863,1092210304,0.416751
